FlMp1.0	48	ssiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii																																															
name	id	AL	AZ	AR	CA	CO	CT	DE	FL	GA	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
Alabama	AL	1392507	2797	3634	16396	3772	1694	529	45656	48597	534	11307	6479	1397	2358	5878	11902	614	3686	1915	9402	1540	18903	7007	302	1165	958	455	3711	1417	9483	9385	572	9108	3171	1169	5149	309	6560	479	22221	21363	1052	261	9941	3462	1271	2714	467
Arizona	AZ	3452	1669415	3574	186151	34518	6580	972	21669	8739	8576	47597	13443	10734	8562	3751	3592	2374	6769	9931	24814	19476	1971	12983	6747	7599	19374	2632	12407	29500	31258	8869	3299	20070	8881	20718	16663	1178	3429	4631	6179	44739	19772	1265	11911	38112	1188	17512	4458
Arkansas	AR	3908	4393	879074	28452	4285	706	221	9039	4686	726	14114	3954	3644	6097	2648	12563	229	1224	1107	5941	2538	7922	19387	623	2132	1789	200	1799	2299	2703	3251	500	3480	19942	1861	2243	177	1704	575	12838	41132	1346	89	3491	3106	597	3440	480
California	CA	10007	92452	11340	1.28E+07	56050	17851	2565	65211	28610	15835	74139	20097	12194	12385	7826	17805	4781	27483	43591	36151	22079	6474	24291	9858	8436	60488	6407	35140	21692	95952	27394	3290	34127	17416	67642	39185	5005	9710	3246	15106	115929	31843	3594	44896	95469	2523	17229	5219
Colorado	CO	4628	31351	4004	111322	1459072	4615	975	25575	11226	5647	27263	8184	11122	17242	3516	6462	1408	8435	7571	13788	13358	2353	12865	7412	15086	9740	2444	8242	23637	20947	8979	3838	11958	10152	10407	12152	1053	3689	5314	6644	62817	13596	1626	15110	17911	1118	10661	14039
Connecticut	CT	1239	2334	590	15298	2824	966896	927	17910	4662	452	6133	1778	759	590	942	1293	3515	4821	29097	2943	1966	563	2009	413	611	683	3850	15990	780	75945	5284	69	4493	817	1060	11182	6734	2333	84	1769	6087	1041	2424	8308	2974	378	1343	346
Delaware	DE	360	599	597	2539	663	1160	203833	3687	1268	65	1363	657	175	255	249	368	391	17058	984	904	291	239	459	86	100	252	176	13107	191	9254	2050	166	1596	586	195	28317	189	790	63	647	2234	249	168	3989	366	747	383	35
Florida	FL	41847	17138	9705	94265	22157	47224	7019	5178134	99225	2608	86354	46933	9201	11319	25570	22121	14228	50153	68058	74949	18345	13491	25873	3049	5979	8222	14679	118905	8164	308230	57564	2262	90833	11929	7032	92385	12871	31469	1668	37046	77072	5629	6895	75955	18998	10470	24507	1729
Georgia	GA	54238	9304	6220	65590	11349	11399	3077	157423	2649844	1546	34632	14001	3943	7038	13758	20479	1912	18849	13009	23945	6429	14071	11485	1142	3152	2852	2540	27139	3273	67499	51355	797	31383	7806	3235	26931	1762	46414	965	45483	59487	3220	1086	37618	11364	3933	7055	1006
Idaho	ID	627	6461	725	35529	5982	393	84	2888	1450	399050	2102	798	968	1244	453	382	347	909	689	1321	1680	362	1482	8370	1323	6858	256	736	2535	1252	1444	969	1719	1089	18106	1333	92	373	1371	1007	6634	17817	251	1672	31256	193	1262	3281
