FlMp1.0	41	ssi
id	name	Karstner
ARG	Argentina	 7173823
AUS	Australia	 165857
BRA	Brazil	 9372328
CAN	Canada	 2044504
CHN	China	 676379
CIV	"Côte d'Ivoire"	 955025
CMR	Cameroon	 447965
COL	Colombia	 283625
ECU	Ecuador	 298103
GHA	Ghana	 1060672
HND	Honduras	 131104
IDN	Indonesia	 1501992
IND	India	 1542864
IRN	Iran	 100956
KAZ	Kazakhstan	 507623
KEN	Kenya	 212356
MAR	Morocco	 102313
MDA	Madagascar	 117522
MEX	Mexico	 167477
MYS	Malaysia	 727965
NGA	Nigeria	 471023 
PAK	Pakistan	 100085 
PER	Peru	 283441 
PHL	Philippines	 145350 
PNG	"Papua New Guinea"	 174731 
PRY	Paraguay	 1465232 
RUS	Russia	 1475589 
SDN	Sudan	 248160 
SEN	Senegal	 167067 
SRB	Serbia	 264909 
SYR	Syria	 125440 
TGO	Togo	 115489 
THA	Thailand	 762487 
TUN	Tunisia	 224734 
TUR	Turkey	 521751 
TZA	"United Republic of Tanzania"	 131630 
UGA	Uganda	 192638 
UKR	Ukraine	 2500050 
USA	"United States of America"	 3506191 
VNM	Vietnam	 381553 
ZAF	"South Africa"	 127429 
