45 ssiiddid
ID  name    emigration hiv female_genital_mutilation female_genital_mutilation_filter internet internet_percent
BF  "Burkina Faso"      10  0   75.8    75.8    0   0
BI  Burundi             16  0   0   0   0   0
BJ  Benin               0   0   9.2 0   0   0
BW  Botswana            6   0   0   0   30  4.41
CD  "The Democratic Republic of Congo"  0   1049    0   0   0   0
CF  "Central African Republic"  0   0   24.2    24.2    0   0
CI  "Côte d'Ivoire"     0   755 38.2    38.2    0   0
CM  Cameroon            0   748 1.4 0   0   0
DJ  Djibouti            26  0   93.1    93.1    0   0
DZ  Algeria             5   0   0   0   16   10.5
EG  Egypt               5   0   87.2    87.2    28  10.73
EH  "Western Sahara"    0   0   0   0   12  0
ER  Eritrea             9   0   83  83  0   0
ET  Ethiopia            0   1225    65.2    65.2    0   0
GA  Gabon               0   0   0   0   19   9.97
GH  Ghana               0   592 3.8 0   0   0
GM  Gambia              0   0   74.9    74.9    19  5.93
GN  Guinea              0   0   96.9    96.9    0   0
GQ  "Equatorial Guinea" 11  0   0   0   0   0
GW  Guinea-Bissau       0   0   44.9    44.9    0   0
KE  Kenya               0   1095    21  21  13  8.13
LS  Lesotho             17  0   0   0   10  0
LR  Liberia             0   0   49.8    49.8    12  0
LY  "Libyan Arab Jamahiriya"    0   0   0   0   23  4.36
MA  Morocco             6   0   0   0   24  21.63
ML  Mali                10  0   83.7    83.7    0   0
MR  Mauritania          0   0   66.6    66.6    0   0
MW  Malawi              0   949 0   0   0   0
MZ  Mozambique          5   1140    0   0   0   0
NA  Namibia             0   0   0   0   27  4.91
NE  Niger               0   0   2   0   0   0
NG  Nigeria             0   1897    24.8    24.8    0   7.41
SD  Sudan               0   632 86.6    86.6    0   3.81
SL  "Sierra Leone"      8   0   89.6    89.6    0   0
SN  Senegal             0   0   24.2    24.2    10  6.55
SO  Somalia             12  0   97.9    97.9    17  0
SZ  Swaziland           7   0   0   0   19  0
TD  Chad                0   0   38.4    38.4    0   0
TG  Togo                0   0   4.7 0   41  5.08
TN  Tunisia             8   0   0   0   52  16.76
TZ  "United Republic of Tanzania"   0   1265    10  0   0   0
UG  Uganda              0   728 1.4 0   0   6.61
ZA  "South Africa"      0   2302    0   0   68  10.88
ZM  Zambia              0   959 0   0   0   4.36
ZW  Zimbabwe            0   1342    0   0   43  10.97
